productid,bigcategory,subcategory,productname,price,,
FUR-BO-10000112,Furniture,Bookcases,"Bush Birmingham Collection Bookcase, Dark Cherry",47,,
FUR-BO-10000330,Furniture,Bookcases,"Sauder Camden County Barrister Bookcase, Planked Cherry Finish",61,,
FUR-BO-10000362,Furniture,Bookcases,Sauder Inglewood Library Bookcases,33,,
FUR-BO-10000468,Furniture,Bookcases,OSullivan 2-Shelf Heavy-Duty Bookcases,37,,
FUR-BO-10000711,Furniture,Bookcases,"Hon Metal Bookcases, Gray",24,,
FUR-BO-10000780,Furniture,Bookcases,OSullivan Plantations 2-Door Library in Landvery Oak,51,,
FUR-BO-10001337,Furniture,Bookcases,OSullivan Living Dimensions 2-Shelf Bookcases,44,,
FUR-BO-10001519,Furniture,Bookcases,OSullivan 3-Shelf Heavy-Duty Bookcases,37,,
FUR-BO-10001567,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",71,,
FUR-BO-10001601,Furniture,Bookcases,"Sauder Mission Library with Doors, Fruitwood Finish",50,,
FUR-BO-10001608,Furniture,Bookcases,"Hon Metal Bookcases, Black",25,,
FUR-BO-10001619,Furniture,Bookcases,OSullivan Cherrywood Estates Traditional Bookcase,48,,
FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,32,,
FUR-BO-10001811,Furniture,Bookcases,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",54,,
FUR-BO-10001918,Furniture,Bookcases,"Sauder Forest Hills Library with Doors, Woodland Oak Finish",58,,
FUR-BO-10001972,Furniture,Bookcases,OSullivan 4-Shelf Bookcase in Odessa Pine,40,,
FUR-BO-10002202,Furniture,Bookcases,"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors",54,,
FUR-BO-10002206,Furniture,Bookcases,"Bush Saratoga Collection 5-Shelf Bookcase, Hanover Cherry, *Special Order",72,,
FUR-BO-10002213,Furniture,Bookcases,DMI Eclipse Executive Suite Bookcases,36,,
FUR-BO-10002268,Furniture,Bookcases,Sauder Barrister Bookcases,25,,
FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",54,,
FUR-BO-10002598,Furniture,Bookcases,"Hon Metal Bookcases, Putty",25,,
FUR-BO-10002613,Furniture,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",54,,
FUR-BO-10002824,Furniture,Bookcases,Bush Mission Pointe Library,26,,
FUR-BO-10002853,Furniture,Bookcases,OSullivan 5-Shelf Heavy-Duty Bookcases,37,,
FUR-BO-10002916,Furniture,Bookcases,Rush Hierlooms Collection 1 Thick Stackable Bookcases,52,,
FUR-BO-10003034,Furniture,Bookcases,"OSullivan Elevations Bookcase, Cherry Finish",43,,
FUR-BO-10003159,Furniture,Bookcases,"Sauder Camden County Collection Libraries, Planked Cherry Finish",63,,
FUR-BO-10003272,Furniture,Bookcases,OSullivan Living Dimensions 5-Shelf Bookcases,44,,
FUR-BO-10003404,Furniture,Bookcases,"Global Adaptabilites Bookcase, Cherry/Storm Gray Finish",54,,
FUR-BO-10003433,Furniture,Bookcases,Sauder Cornerstone Collection Library,36,,
FUR-BO-10003441,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Fully Assembled",51,,
FUR-BO-10003450,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Dark Cherry Finish",54,,
FUR-BO-10003546,Furniture,Bookcases,Hon 4-Shelf Metal Bookcases,26,,
