"productid","bigcategory","subcategory","productname","price"
"FUR-BO-10000112","Furniture","Bookcases","""Bush Birmingham Collection Bookcase","0.00"
"FUR-BO-10000330","Furniture","Bookcases","""Sauder Camden County Barrister Bookcase","0.00"
"FUR-BO-10000362","Furniture","Bookcases","Sauder Inglewood Library Bookcases","33.00"
"FUR-BO-10000468","Furniture","Bookcases","OSullivan 2-Shelf Heavy-Duty Bookcases","37.00"
"FUR-BO-10000711","Furniture","Bookcases","""Hon Metal Bookcases","0.00"
"FUR-BO-10000780","Furniture","Bookcases","OSullivan Plantations 2-Door Library in Landvery Oak","51.00"
"FUR-BO-10001337","Furniture","Bookcases","OSullivan Living Dimensions 2-Shelf Bookcases","44.00"
"FUR-BO-10001519","Furniture","Bookcases","OSullivan 3-Shelf Heavy-Duty Bookcases","37.00"
"FUR-BO-10001567","Furniture","Bookcases","""Bush Westfield Collection Bookcases","0.00"
"FUR-BO-10001601","Furniture","Bookcases","""Sauder Mission Library with Doors","0.00"
"FUR-BO-10001608","Furniture","Bookcases","""Hon Metal Bookcases","0.00"
"FUR-BO-10001619","Furniture","Bookcases","OSullivan Cherrywood Estates Traditional Bookcase","48.00"
"FUR-BO-10001798","Furniture","Bookcases","Bush Somerset Collection Bookcase","32.00"
"FUR-BO-10001811","Furniture","Bookcases","""Atlantic Metals Mobile 5-Shelf Bookcases","0.00"
"FUR-BO-10001918","Furniture","Bookcases","""Sauder Forest Hills Library with Doors","0.00"
"FUR-BO-10001972","Furniture","Bookcases","OSullivan 4-Shelf Bookcase in Odessa Pine","40.00"
"FUR-BO-10002202","Furniture","Bookcases","""Atlantic Metals Mobile 2-Shelf Bookcases","0.00"
"FUR-BO-10002206","Furniture","Bookcases","""Bush Saratoga Collection 5-Shelf Bookcase","0.00"
"FUR-BO-10002213","Furniture","Bookcases","DMI Eclipse Executive Suite Bookcases","36.00"
"FUR-BO-10002268","Furniture","Bookcases","Sauder Barrister Bookcases","25.00"
